__sf_row_id,customer_id,product_name,review_text,rating,purchase_date,reviewer_name
0.0,1.0,Laptop Pro,This product is absolutely amazing! Best purchase ever.,5.0,2026-01-15,John
1.0,2.0,Laptop Pro,Terrible quality. Stopped working after one week.,1.0,2026-01-16,Charles
2.0,3.0,Mouse Wireless,"Great mouse, very responsive and comfortable to use.",4.0,2026-01-17,Sarah
3.0,4.0,Mouse Wireless,Arrived with dead pixels. Very disappointed.,3.0,2026-01-18,Mike
4.0,5.0,Keyboard Mechanical,Love the mechanical switches! Perfect for typing.,5.0,2026-01-19,Charles
5.0,6.0,Keyboard Mechanical,Not worth the price. Keys are too loud.,2.0,2026-01-20,David
6.0,7.0,Monitor 4K,Excellent display quality and color accuracy!,5.0,2026-01-21,Emma
7.0,8.0,Monitor 4K,Arrived with dead pixels. Very disappointed.,1.0,2026-01-22,Charles
8.0,9.0,USB Hub,Works as expected. Nothing special but reliable.,3.0,2026-01-23,Robert
9.0,10.0,USB Hub,Cheap and cheerful! Does the job perfectly.,4.0,2026-01-24,Lisa
10.0,11.0,Webcam HD,Terrible camera. Image quality is very poor.,1.0,2026-01-25,James
11.0,12.0,Webcam HD,Fantastic webcam! Crystal clear video quality.,5.0,2026-01-26,Charles
12.0,13.0,Speaker Bluetooth,Average speaker. Sound is okay but bass is weak.,2.0,2026-01-27,Patricia
13.0,14.0,Speaker Bluetooth,I love this speaker! Amazing sound quality.,5.0,2026-01-28,Charles
14.0,15.0,Cable Set,Broke after two weeks. Poor quality materials.,1.0,2026-01-29,Charles
15.0,16.0,Cable Set,Durable and good value for money.,4.0,2026-01-30,Charles
16.0,17.0,Stand Monitor,Perfect! Helps with ergonomics and reduces neck pain.,5.0,2026-02-01,Rachel
17.0,18.0,Stand Monitor,Arrived with dead pixels. Very disappointed.,2.0,2026-02-02,Daniel
18.0,19.0,Desk Lamp,Not bright enough. Disappointed with purchase.,2.0,2026-02-03,Charles
19.0,20.0,Desk Lamp,Excellent lamp! Great design and bright LED.,5.0,2026-02-04,Jennifer
20.0,21.0,Chair Office,Uncomfortable after sitting for 2 hours.,1.0,2026-02-05,Mark
21.0,22.0,Chair Office,Very comfortable! Best office chair I ever had.,5.0,2026-02-06,Charles
22.0,23.0,Desk Pad,Good quality mouse pad. Prevents slipping.,4.0,2026-02-07,Charles
23.0,24.0,Desk Pad,Terrible! Fell apart after one month.,1.0,2026-02-08,Sandra
24.0,25.0,Screen Protector,Works perfectly. Keeps screen safe from scratches.,5.0,2026-02-09,Charles
